title,description,length
The Edge Of Adventure,"What would happen to our lives and relationships if they were totally committed to God? The Edge of Adventure invites readers to take the plunge into wholehearted devotion. Miller and Larson offer a fresh, creative approach to renewal of the Christian life by testing His presence in all areas of life.",302
Cambodian Harvest,"A single woman in her sixties travels to Cambodia to set up a dried fruit factory - a project to provide landmine survivors with an income and hope for the future. Overcoming official corruption, cultural prejudice and minimal financial support, her inspirational story will challenge everyone who thinks they are too broken or too old to make an impact for God in this world.",376
"Lone Wolf and Cub, Omnibus 2","Ronin samurai Ogami Itto and his young son Daigoro travel a dark road, beset by enemies sworn to destroy the Lone Wolf and his Cub. But how did Ogami, once the shogun's loyal retainer and trusted executioner, become a dishonored fugitive marked for death by the shogun himself? What hidden forces moved to destroy Ogami's family and fuel his relentless quest for retribution?
This volume collects stories from volume 3, volume 4, and volume 5 of the original Lone Wolf and Cub series.",484
Troop 142,"Troop 142 follows a group of campers and counselors on a scout retreat. It is a story about the blurred line between childhood and manhood, and the hypocrisy of institutional morality. Mike Dawson captures the hilarious, brutal truths about boys and men, and the resilience of Spam and the human spirit.",303
Vintage Tampa Signs and Scenes,"During the 1950s, the Cinchett Neon Sign Company came to be Tampa's best-known sign maker. When the city planned to build a zoo, the mayor asked Cinchett to design the new sign. Fried chicken king Colonel Sanders had the sign company create all the neon work for his first two Kentucky Fried Chicken restaurants in Central Florida, and soon after, other reputable businesses came calling.",388
Stubby the Giraffe Who Wouldn't Take Chances,"STUBBY THE GIRAFFE WHO WOULDN'T TAKE CHANCES is about self esteem. It is about building confidence in children who are often afraid to stretch because of peer pressure or bullying. It is about believing in what you are and what you have, and achieving excellence in spite of what others think, say, or do!",305
Tales of the Dim Knight,"""Some relationships are built on trust and mutual respect, others are built on using someone as a pawn in a game of global domination."" Mild-mannered janitor and superhero fanboy Dave Johnson gets all his wishes at once when an alien symbiote gives him supernatural powers. But what's he to do with them? Follow the zany adventures of the clueless custodian as he fights crime and corruption while trying to keep his family together and avoid being sued for copyright infringement...",483
Gary Snyder and the American Unconscious: Inhabiting the Ground,"This book presents a new theory of American culture based not on the phenomenologically- and existentially-derived vocabularies of consciousness, which have dominated earlier accounts, but rather on a revitalized notion of the unconscious. Drawing on the writings of the French psychoanalyst Jacques Lacan, Dean develops a theory of the constitution of the very notion of America itself as based on a complicated relation to the American landscape.",448
"Crushed (Happily Ever Afterlife, #2)","Lucy is ready for her next challenge at Limbo Central Middle School: joining a club. Or actually, forming one. Lucy and her best friend Cecily were awesome ballet dancers in life, so obviously they can start a Dance Club in the Afterlife.
Not according to George Sinclaire. The head of the cheerleading squad wants to forbid cheerleaders from even trying out for Dance Club!
Who knew starting a Dance Club would be all about drama?",431
Tenant for Death,"An Inspector Mallett mystery.
Daylesford Gardens, South Kensington, is an unlikely address for the discovery of death by strangulation.
Even more unusual is that the house does not belong to the deceased financier.
In the meantime, the mysterious tenant, Colin James, has disappeared.
Inspector Mallett of Scotland Yard is brought in to unravel a complicated trail.",365
"Being Peace (Being Peace, #1)","Since its publication in 1987, ""Being Peace"" has become a classic of contemporary religious literature. In his simple and readable style, Thich Nhat Hanh shows how our state of mind and body can make the world a peaceful place. We learn to transform the very situations that pressure and antagonize us into opportunities for practicing mindfulness.",348
Desert Songs,"Poetry. Memoir. LGBT Studies. ""A personification of the desolate and sensuous Utah landscape swaggers through JoSelle Vanderhooft's DESERT SONGS, pining for the one partner who understands in this hallucinatory fusion of autobiography and history, veering from saucy patter to timeless fable and back again, the desert permeates all, as god or goddess, as lover as shepherd and scourge of the peoples who traverse it, as a backdrop to memory and heartache."" Mike Allen""",469
"JoJo's Bizarre Adventure: Part 2—Battle Tendency, Vol. 3","JoJo and Caesar face their most powerful foe yet--the leader of the Pillar Men! Armed with the ability to create a weapon from any part of his body, he is more than a match for JoJo and his allies. And now that his brethren have fallen, he's got a score to settle. Prepare for a battle unlike any before!",304
"40 Projects for Building Your Backyard Homestead: A Hands-on, Step-by-Step Sustainable-Living Guide","A companion volume to Backyard Homesteading, 40 Projects for Building Your Backyard Homesteadprovides details on how to build more than 40 projects to enhance readers' sustainable living. Even if they are only moderately handy, they'll discover the tools and techniques for building their own feeders, fences, and structures. In the process, they'll save money and have the satisfaction of doing it themselves.",410
